;loinc_num;long_common_name;component;system;property;combined_col;removed_punc;tokens;clean_tokens;pos_tag;clean_text;query;rank
40;6768-6;Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma;Alkaline phosphatase;Ser/Plas;CCnc;Alkaline phosphatase [Enzymatic activity/volume] in Serum or PlasmaAlkaline phosphataseSer/Plasproperty;Alkaline phosphatase Enzymatic activityvolume in Serum or PlasmaAlkaline phosphataseSerPlasproperty;['alkaline', 'phosphatase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaalkaline', 'phosphataseserplasproperty'];['alkaline', 'phosphatase', 'enzymatic', 'activityvolume', 'serum', 'plasmaalkaline', 'phosphataseserplasproperty'];[('alkaline', 'JJ'), ('phosphatase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaalkaline', 'NN'), ('phosphataseserplasproperty', 'NN')];alkaline phosphatase enzymatic activityvolume serum plasmaalkaline phosphataseserplasproperty;glucose in blood;0
41;2069-3;Chloride [Moles/volume] in Blood;Chloride;Bld;SCnc;Chloride [Moles/volume] in BloodChlorideBldproperty;Chloride Molesvolume in BloodChlorideBldproperty;['chloride', 'molesvolume', 'in', 'bloodchloridebldproperty'];['chloride', 'molesvolume', 'bloodchloridebldproperty'];[('chloride', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodchloridebldproperty', 'NN')];chloride molesvolume bloodchloridebldproperty;glucose in blood;1
42;3082-5;Tyrosine aminotransferase [Mass/volume] in Plasma;Tyrosine aminotransferase;Plas;MCnc;Tyrosine aminotransferase [Mass/volume] in PlasmaTyrosine aminotransferasePlasproperty;Tyrosine aminotransferase Massvolume in PlasmaTyrosine aminotransferasePlasproperty;['tyrosine', 'aminotransferase', 'massvolume', 'in', 'plasmatyrosine', 'aminotransferaseplasproperty'];['tyrosine', 'aminotransferase', 'massvolume', 'plasmatyrosine', 'aminotransferaseplasproperty'];[('tyrosine', 'JJ'), ('aminotransferase', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('plasmatyrosine', 'NN'), ('aminotransferaseplasproperty', 'NN')];tyrosine aminotransferase massvolume plasmatyrosine aminotransferaseplasproperty;glucose in blood;0
43;30522-7;C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method;C reactive protein;Ser/Plas;MCnc;C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity methodC reactive proteinSer/Plasproperty;C reactive protein Massvolume in Serum or Plasma by High sensitivity methodC reactive proteinSerPlasproperty;['c', 'reactive', 'protein', 'massvolume', 'in', 'serum', 'or', 'plasma', 'by', 'high', 'sensitivity', 'methodc', 'reactive', 'proteinserplasproperty'];['c', 'reactive', 'protein', 'massvolume', 'serum', 'plasma', 'high', 'sensitivity', 'methodc', 'reactive', 'proteinserplasproperty'];[('c', 'NNS'), ('reactive', 'VBP'), ('protein', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasma', 'NN'), ('by', 'IN'), ('high', 'JJ'), ('sensitivity', 'NN'), ('methodc', 'VBP'), ('reactive', 'JJ'), ('proteinserplasproperty', 'NN')];c reactive protein massvolume serum plasma high sensitivity methodc reactive proteinserplasproperty;glucose in blood;0
44;33870-7;Bilirubin.total [Presence] in Unspecified specimen;Bilirubin;XXX;PrThr;Bilirubin.total [Presence] in Unspecified specimenBilirubinXXXproperty;Bilirubintotal Presence in Unspecified specimenBilirubinXXXproperty;['bilirubintotal', 'presence', 'in', 'unspecified', 'specimenbilirubinxxxproperty'];['bilirubintotal', 'presence', 'unspecified', 'specimenbilirubinxxxproperty'];[('bilirubintotal', 'JJ'), ('presence', 'NN'), ('in', 'IN'), ('unspecified', 'JJ'), ('specimenbilirubinxxxproperty', 'NN')];bilirubintotal presence unspecified specimenbilirubinxxxproperty;glucose in blood;0
45;20442-0;Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification;Hepatitis B virus DNA;Ser;NCnc;Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplificationHepatitis B virus DNASerproperty;Hepatitis B virus DNA volume viral load in Serum by Probe with signal amplificationHepatitis B virus DNASerproperty;['hepatitis', 'b', 'virus', 'dna', 'volume', 'viral', 'load', 'in', 'serum', 'by', 'probe', 'with', 'signal', 'amplificationhepatitis', 'b', 'virus', 'dnaserproperty'];['hepatitis', 'b', 'virus', 'dna', 'volume', 'viral', 'load', 'serum', 'probe', 'signal', 'amplificationhepatitis', 'b', 'virus', 'dnaserproperty'];[('hepatitis', 'NN'), ('b', 'NN'), ('virus', 'NN'), ('dna', 'NN'), ('volume', 'NN'), ('viral', 'JJ'), ('load', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('by', 'IN'), ('probe', 'NN'), ('with', 'IN'), ('signal', 'JJ'), ('amplificationhepatitis', 'NN'), ('b', 'NN'), ('virus', 'NN'), ('dnaserproperty', 'NN')];hepatitis b virus dna volume viral load serum probe signal amplificationhepatitis b virus dnaserproperty;glucose in blood;0
46;2111-3;Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma;Choriogonadotropin.beta subunit;Ser/Plas;SCnc;Choriogonadotropin.beta subunit [Moles/volume] in Serum or PlasmaChoriogonadotropin.beta subunitSer/Plasproperty;Choriogonadotropinbeta subunit Molesvolume in Serum or PlasmaChoriogonadotropinbeta subunitSerPlasproperty;['choriogonadotropinbeta', 'subunit', 'molesvolume', 'in', 'serum', 'or', 'plasmachoriogonadotropinbeta', 'subunitserplasproperty'];['choriogonadotropinbeta', 'subunit', 'molesvolume', 'serum', 'plasmachoriogonadotropinbeta', 'subunitserplasproperty'];[('choriogonadotropinbeta', 'NN'), ('subunit', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmachoriogonadotropinbeta', 'NN'), ('subunitserplasproperty', 'NN')];choriogonadotropinbeta subunit molesvolume serum plasmachoriogonadotropinbeta subunitserplasproperty;glucose in blood;0
47;14578-9;ABO group [Type] in Blood from Blood product unit;ABO group;Bld^BPU;Type;ABO group [Type] in Blood from Blood product unitABO groupBld^BPUproperty;ABO group Type in Blood from Blood product unitABO groupBldBPUproperty;['abo', 'group', 'type', 'in', 'blood', 'from', 'blood', 'product', 'unitabo', 'groupbldbpuproperty'];['abo', 'group', 'type', 'blood', 'blood', 'product', 'unitabo', 'groupbldbpuproperty'];[('abo', 'NN'), ('group', 'NN'), ('type', 'NN'), ('in', 'IN'), ('blood', 'NN'), ('from', 'IN'), ('blood', 'NN'), ('product', 'NN'), ('unitabo', 'JJ'), ('groupbldbpuproperty', 'NN')];abo group type blood blood product unitabo groupbldbpuproperty;glucose in blood;1
48;18955-5;Nitrofurantoin [Susceptibility];Nitrofurantoin;Isolate;Susc;Nitrofurantoin [Susceptibility]NitrofurantoinIsolateproperty;Nitrofurantoin SusceptibilityNitrofurantoinIsolateproperty;['nitrofurantoin', 'susceptibilitynitrofurantoinisolateproperty'];['nitrofurantoin', 'susceptibilitynitrofurantoinisolateproperty'];[('nitrofurantoin', 'RB'), ('susceptibilitynitrofurantoinisolateproperty', 'NN')];nitrofurantoin susceptibilitynitrofurantoinisolateproperty;glucose in blood;0
49;2039-6;Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;Carcinoembryonic Ag;Ser/Plas;MCnc;Carcinoembryonic Ag [Mass/volume] in Serum or PlasmaCarcinoembryonic AgSer/Plasproperty;Carcinoembryonic Ag Massvolume in Serum or PlasmaCarcinoembryonic AgSerPlasproperty;['carcinoembryonic', 'ag', 'massvolume', 'in', 'serum', 'or', 'plasmacarcinoembryonic', 'agserplasproperty'];['carcinoembryonic', 'ag', 'massvolume', 'serum', 'plasmacarcinoembryonic', 'agserplasproperty'];[('carcinoembryonic', 'JJ'), ('ag', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacarcinoembryonic', 'JJ'), ('agserplasproperty', 'NN')];carcinoembryonic ag massvolume serum plasmacarcinoembryonic agserplasproperty;glucose in blood;0
50;933-2;Blood product type;Blood product type;^BPU;Type;Blood product typeBlood product type^BPUproperty;Blood product typeBlood product typeBPUproperty;['blood', 'product', 'typeblood', 'product', 'typebpuproperty'];['blood', 'product', 'typeblood', 'product', 'typebpuproperty'];[('blood', 'NN'), ('product', 'NN'), ('typeblood', 'NN'), ('product', 'NN'), ('typebpuproperty', 'NN')];blood product typeblood product typebpuproperty;glucose in blood;1
51;19000-9;Vancomycin [Susceptibility];Vancomycin;Isolate;Susc;Vancomycin [Susceptibility]VancomycinIsolateproperty;Vancomycin SusceptibilityVancomycinIsolateproperty;['vancomycin', 'susceptibilityvancomycinisolateproperty'];['vancomycin', 'susceptibilityvancomycinisolateproperty'];[('vancomycin', 'NN'), ('susceptibilityvancomycinisolateproperty', 'NN')];vancomycin susceptibilityvancomycinisolateproperty;glucose in blood;0
52;26478-8;Lymphocytes/100 leukocytes in Blood;Lymphocytes/100 leukocytes;Bld;NFr;Lymphocytes/100 leukocytes in BloodLymphocytes/100 leukocytesBldproperty;Lymphocytes100 leukocytes in BloodLymphocytes100 leukocytesBldproperty;['lymphocytes100', 'leukocytes', 'in', 'bloodlymphocytes100', 'leukocytesbldproperty'];['lymphocytes100', 'leukocytes', 'bloodlymphocytes100', 'leukocytesbldproperty'];[('lymphocytes100', 'NN'), ('leukocytes', 'VBZ'), ('in', 'IN'), ('bloodlymphocytes100', 'NN'), ('leukocytesbldproperty', 'NN')];lymphocytes100 leukocytes bloodlymphocytes100 leukocytesbldproperty;glucose in blood;1
53;19080-1;Choriogonadotropin [Units/volume] in Serum or Plasma;Choriogonadotropin;Ser/Plas;ACnc;Choriogonadotropin [Units/volume] in Serum or PlasmaChoriogonadotropinSer/Plasproperty;Choriogonadotropin Unitsvolume in Serum or PlasmaChoriogonadotropinSerPlasproperty;['choriogonadotropin', 'unitsvolume', 'in', 'serum', 'or', 'plasmachoriogonadotropinserplasproperty'];['choriogonadotropin', 'unitsvolume', 'serum', 'plasmachoriogonadotropinserplasproperty'];[('choriogonadotropin', 'NN'), ('unitsvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmachoriogonadotropinserplasproperty', 'NN')];choriogonadotropin unitsvolume serum plasmachoriogonadotropinserplasproperty;glucose in blood;0
54;1995-0;Calcium.ionized [Moles/volume] in Serum or Plasma;Calcium.ionized;Ser/Plas;SCnc;Calcium.ionized [Moles/volume] in Serum or PlasmaCalcium.ionizedSer/Plasproperty;Calciumionized Molesvolume in Serum or PlasmaCalciumionizedSerPlasproperty;['calciumionized', 'molesvolume', 'in', 'serum', 'or', 'plasmacalciumionizedserplasproperty'];['calciumionized', 'molesvolume', 'serum', 'plasmacalciumionizedserplasproperty'];[('calciumionized', 'VBN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacalciumionizedserplasproperty', 'NN')];calciumionized molesvolume serum plasmacalciumionizedserplasproperty;glucose in blood;0
55;35184-1;Fasting glucose [Mass or Moles/volume] in Serum or Plasma;Glucose^post CFst;Ser/Plas;MSCnc;Fasting glucose [Mass or Moles/volume] in Serum or PlasmaGlucose^post CFstSer/Plasproperty;Fasting glucose Mass or Molesvolume in Serum or PlasmaGlucosepost CFstSerPlasproperty;['fasting', 'glucose', 'mass', 'or', 'molesvolume', 'in', 'serum', 'or', 'plasmaglucosepost', 'cfstserplasproperty'];['fasting', 'glucose', 'mass', 'molesvolume', 'serum', 'plasmaglucosepost', 'cfstserplasproperty'];[('fasting', 'VBG'), ('glucose', 'JJ'), ('mass', 'NN'), ('or', 'CC'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaglucosepost', 'NN'), ('cfstserplasproperty', 'NN')];fasting glucose mass molesvolume serum plasmaglucosepost cfstserplasproperty;glucose in blood;1
56;2085-9;Cholesterol in HDL [Mass/volume] in Serum or Plasma;Cholesterol.in HDL;Ser/Plas;MCnc;Cholesterol in HDL [Mass/volume] in Serum or PlasmaCholesterol.in HDLSer/Plasproperty;Cholesterol in HDL Massvolume in Serum or PlasmaCholesterolin HDLSerPlasproperty;['cholesterol', 'in', 'hdl', 'massvolume', 'in', 'serum', 'or', 'plasmacholesterolin', 'hdlserplasproperty'];['cholesterol', 'hdl', 'massvolume', 'serum', 'plasmacholesterolin', 'hdlserplasproperty'];[('cholesterol', 'NN'), ('in', 'IN'), ('hdl', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacholesterolin', 'NN'), ('hdlserplasproperty', 'NN')];cholesterol hdl massvolume serum plasmacholesterolin hdlserplasproperty;glucose in blood;0
57;1759-0;Albumin/Globulin [Mass ratio] in Serum or Plasma;Albumin/Globulin;Ser/Plas;MCrto;Albumin/Globulin [Mass ratio] in Serum or PlasmaAlbumin/GlobulinSer/Plasproperty;AlbuminGlobulin Mass ratio in Serum or PlasmaAlbuminGlobulinSerPlasproperty;['albuminglobulin', 'mass', 'ratio', 'in', 'serum', 'or', 'plasmaalbuminglobulinserplasproperty'];['albuminglobulin', 'mass', 'ratio', 'serum', 'plasmaalbuminglobulinserplasproperty'];[('albuminglobulin', 'JJ'), ('mass', 'NN'), ('ratio', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaalbuminglobulinserplasproperty', 'NN')];albuminglobulin mass ratio serum plasmaalbuminglobulinserplasproperty;glucose in blood;0
58;2028-9;Carbon dioxide, total [Moles/volume] in Serum or Plasma;Carbon dioxide;Ser/Plas;SCnc;Carbon dioxide, total [Moles/volume] in Serum or PlasmaCarbon dioxideSer/Plasproperty;Carbon dioxide total Molesvolume in Serum or PlasmaCarbon dioxideSerPlasproperty;['carbon', 'dioxide', 'total', 'molesvolume', 'in', 'serum', 'or', 'plasmacarbon', 'dioxideserplasproperty'];['carbon', 'dioxide', 'total', 'molesvolume', 'serum', 'plasmacarbon', 'dioxideserplasproperty'];[('carbon', 'NN'), ('dioxide', 'NN'), ('total', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacarbon', 'NN'), ('dioxideserplasproperty', 'NN')];carbon dioxide total molesvolume serum plasmacarbon dioxideserplasproperty;glucose in blood;0
59;35192-4;Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Ser/Plas;MSCnc;Bilirubin.indirect [Mass or Moles/volume] in Serum or PlasmaBilirubin.non-glucuronidatedSer/Plasproperty;Bilirubinindirect Mass or Molesvolume in Serum or PlasmaBilirubinnonglucuronidatedSerPlasproperty;['bilirubinindirect', 'mass', 'or', 'molesvolume', 'in', 'serum', 'or', 'plasmabilirubinnonglucuronidatedserplasproperty'];['bilirubinindirect', 'mass', 'molesvolume', 'serum', 'plasmabilirubinnonglucuronidatedserplasproperty'];[('bilirubinindirect', 'JJ'), ('mass', 'NN'), ('or', 'CC'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinnonglucuronidatedserplasproperty', 'NN')];bilirubinindirect mass molesvolume serum plasmabilirubinnonglucuronidatedserplasproperty;glucose in blood;0
60;20629-2;Levofloxacin [Susceptibility];Levofloxacin;Isolate;Susc;Levofloxacin [Susceptibility]LevofloxacinIsolateproperty;Levofloxacin SusceptibilityLevofloxacinIsolateproperty;['levofloxacin', 'susceptibilitylevofloxacinisolateproperty'];['levofloxacin', 'susceptibilitylevofloxacinisolateproperty'];[('levofloxacin', 'NN'), ('susceptibilitylevofloxacinisolateproperty', 'NN')];levofloxacin susceptibilitylevofloxacinisolateproperty;glucose in blood;0
61;17861-6;Calcium [Mass/volume] in Serum or Plasma;Calcium;Ser/Plas;MCnc;Calcium [Mass/volume] in Serum or PlasmaCalciumSer/Plasproperty;Calcium Massvolume in Serum or PlasmaCalciumSerPlasproperty;['calcium', 'massvolume', 'in', 'serum', 'or', 'plasmacalciumserplasproperty'];['calcium', 'massvolume', 'serum', 'plasmacalciumserplasproperty'];[('calcium', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacalciumserplasproperty', 'NN')];calcium massvolume serum plasmacalciumserplasproperty;glucose in blood;0
62;54439-5;Calcium bilirubinate/Total in Stone;Calcium bilirubinate/Total;Calculus;MFr;Calcium bilirubinate/Total in StoneCalcium bilirubinate/TotalCalculusproperty;Calcium bilirubinateTotal in StoneCalcium bilirubinateTotalCalculusproperty;['calcium', 'bilirubinatetotal', 'in', 'stonecalcium', 'bilirubinatetotalcalculusproperty'];['calcium', 'bilirubinatetotal', 'stonecalcium', 'bilirubinatetotalcalculusproperty'];[('calcium', 'NN'), ('bilirubinatetotal', 'NN'), ('in', 'IN'), ('stonecalcium', 'NN'), ('bilirubinatetotalcalculusproperty', 'NN')];calcium bilirubinatetotal stonecalcium bilirubinatetotalcalculusproperty;glucose in blood;0
63;18878-9;Cefazolin [Susceptibility];Cefazolin;Isolate;Susc;Cefazolin [Susceptibility]CefazolinIsolateproperty;Cefazolin SusceptibilityCefazolinIsolateproperty;['cefazolin', 'susceptibilitycefazolinisolateproperty'];['cefazolin', 'susceptibilitycefazolinisolateproperty'];[('cefazolin', 'NN'), ('susceptibilitycefazolinisolateproperty', 'NN')];cefazolin susceptibilitycefazolinisolateproperty;glucose in blood;0
64;18928-2;Gentamicin [Susceptibility];Gentamicin;Isolate;Susc;Gentamicin [Susceptibility]GentamicinIsolateproperty;Gentamicin SusceptibilityGentamicinIsolateproperty;['gentamicin', 'susceptibilitygentamicinisolateproperty'];['gentamicin', 'susceptibilitygentamicinisolateproperty'];[('gentamicin', 'NN'), ('susceptibilitygentamicinisolateproperty', 'NN')];gentamicin susceptibilitygentamicinisolateproperty;glucose in blood;0
65;29265-6;Calcium [Moles/volume] corrected for albumin in Serum or Plasma;Calcium^^corrected for albumin;Ser/Plas;SCnc;Calcium [Moles/volume] corrected for albumin in Serum or PlasmaCalcium^^corrected for albuminSer/Plasproperty;Calcium Molesvolume corrected for albumin in Serum or PlasmaCalciumcorrected for albuminSerPlasproperty;['calcium', 'molesvolume', 'corrected', 'for', 'albumin', 'in', 'serum', 'or', 'plasmacalciumcorrected', 'for', 'albuminserplasproperty'];['calcium', 'molesvolume', 'corrected', 'albumin', 'serum', 'plasmacalciumcorrected', 'albuminserplasproperty'];[('calcium', 'NN'), ('molesvolume', 'NN'), ('corrected', 'VBN'), ('for', 'IN'), ('albumin', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacalciumcorrected', 'VBN'), ('for', 'IN'), ('albuminserplasproperty', 'NN')];calcium molesvolume corrected albumin serum plasmacalciumcorrected albuminserplasproperty;glucose in blood;0
66;23658-8;Other Antibiotic [Susceptibility];Antibiotic XXX;Isolate;Susc;Other Antibiotic [Susceptibility]Antibiotic XXXIsolateproperty;Other Antibiotic SusceptibilityAntibiotic XXXIsolateproperty;['other', 'antibiotic', 'susceptibilityantibiotic', 'xxxisolateproperty'];['antibiotic', 'susceptibilityantibiotic', 'xxxisolateproperty'];[('other', 'JJ'), ('antibiotic', 'JJ'), ('susceptibilityantibiotic', 'JJ'), ('xxxisolateproperty', 'NN')];antibiotic susceptibilityantibiotic xxxisolateproperty;glucose in blood;0
67;96045-0;Osmotic fragility of Red Blood Cells--10% glucose 48 hour 37 degree C incubation;Osmotic fragility^10% glucose 48H 37 deg C incubation;RBC;NFr;Osmotic fragility of Red Blood Cells--10% glucose 48 hour 37 degree C incubationOsmotic fragility^10% glucose 48H 37 deg C incubationRBCproperty;Osmotic fragility of Red Blood Cells10 glucose 48 hour 37 degree C incubationOsmotic fragility10 glucose 48H 37 deg C incubationRBCproperty;['osmotic', 'fragility', 'of', 'red', 'blood', 'cells10', 'glucose', '48', 'hour', '37', 'degree', 'c', 'incubationosmotic', 'fragility10', 'glucose', '48h', '37', 'deg', 'c', 'incubationrbcproperty'];['osmotic', 'fragility', 'red', 'blood', 'cells10', 'glucose', '48', 'hour', '37', 'degree', 'c', 'incubationosmotic', 'fragility10', 'glucose', '48h', '37', 'deg', 'c', 'incubationrbcproperty'];[('osmotic', 'JJ'), ('fragility', 'NN'), ('of', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cells10', 'NN'), ('glucose', 'VBD'), ('48', 'CD'), ('hour', 'NN'), ('37', 'CD'), ('degree', 'NN'), ('c', 'NNS'), ('incubationosmotic', 'JJ'), ('fragility10', 'NNS'), ('glucose', 'VBD'), ('48h', 'CD'), ('37', 'CD'), ('deg', 'NN'), ('c', 'NN'), ('incubationrbcproperty', 'NN')];osmotic fragility red blood cells10 glucose 48 hour 37 degree c incubationosmotic fragility10 glucose 48h 37 deg c incubationrbcproperty;glucose in blood;1
